Binlow , 0.0
Binint , 60.0
nbins  , 50
Trials , 5
Integral , 0
Overflows , 5
Underflows , 0
bin# , bin_centre , counts , error
0,30.0,0,0.0
1,90.0,0,0.0
2,150.0,0,0.0
3,210.0,0,0.0
4,270.0,0,0.0
5,330.0,0,0.0
6,390.0,0,0.0
7,450.0,0,0.0
8,510.0,0,0.0
9,570.0,0,0.0
10,630.0,0,0.0
11,690.0,0,0.0
12,750.0,0,0.0
13,810.0,0,0.0
14,870.0,0,0.0
15,930.0,0,0.0
16,990.0,0,0.0
17,1050.0,0,0.0
18,1110.0,0,0.0
19,1170.0,0,0.0
20,1230.0,0,0.0
21,1290.0,0,0.0
22,1350.0,0,0.0
23,1410.0,0,0.0
24,1470.0,0,0.0
25,1530.0,0,0.0
26,1590.0,0,0.0
27,1650.0,0,0.0
28,1710.0,0,0.0
29,1770.0,0,0.0
30,1830.0,0,0.0
31,1890.0,0,0.0
32,1950.0,0,0.0
33,2010.0,0,0.0
34,2070.0,0,0.0
35,2130.0,0,0.0
36,2190.0,0,0.0
37,2250.0,0,0.0
38,2310.0,0,0.0
39,2370.0,0,0.0
40,2430.0,0,0.0
41,2490.0,0,0.0
42,2550.0,0,0.0
43,2610.0,0,0.0
44,2670.0,0,0.0
45,2730.0,0,0.0
46,2790.0,0,0.0
47,2850.0,0,0.0
48,2910.0,0,0.0
49,2970.0,0,0.0
